[0, 0, 3.12722012133434, 8.489446545332326]
[0, 1, 3.12722012133434, 8.489446545332326]
[0, 2, 3.12722012133434, 8.489446545332326]
[0, 3, 3.12722012133434, 8.489446545332326]
[1, 0, 1.755014942028581, 6.2475269855333995]
[1, 1, 2.667172094991277, 10.453501148740571]
[1, 2, 3.696945732385163, 10.282070515002648]
[1, 3, 3.0766052912898414, 5.069886188640498]
[2, 0, 3.95201376704678, 3.4444165755408767]
[2, 1, 5.160594001216903, 8.212310661196588]
[2, 2, 6.3107537167402405, 8.064443501697573]
[2, 3, 5.386399519739237, 2.1781216259042]
[3, 0, 8.278020914303053, 3.2369970047525705]
[3, 1, 8.073798714343399, 3.5851687570805835]
[3, 2, 8.186594117774595, 3.4965146043368067]
[3, 3, 8.489613672347838, 3.0294528871874813]
