[0, 0, 4.426767682001509, 12.47010731799849]
[0, 1, 4.426767682001509, 12.47010731799849]
[0, 2, 4.426767682001509, 12.47010731799849]
[0, 3, 4.426767682001509, 12.47010731799849]
[1, 0, 2.873168912311134, 10.40958134858418]
[1, 1, 1.655792045049971, 9.067892557760409]
[1, 2, 2.912917463675376, 7.381595637307021]
[1, 3, 5.899230570706504, 7.311544914004628]
[2, 0, 6.2880481386673335, 6.3885905372536556]
[2, 1, 4.861095577658657, 4.8273059383494195]
[2, 2, 6.200860315600641, 2.9863949223952733]
[2, 3, 9.554889758900416, 3.0377035154926837]
[3, 0, 12.111496054537298, 4.6837301978516575]
[3, 1, 12.085932614490842, 4.637318861713933]
[3, 2, 12.326712576328553, 4.384468274532512]
[3, 3, 12.624008892808932, 4.169193039340173]
