I1 I2 I3 t1 t2
1 2 3 0.16666666666666669
1 2 4 0.21650635094610965
1 2 5 0.2449489742783178
1 3 4 0.12499999999999999
1 3 5 0.1632993161855452
1 4 5 0.09999999999999999
2 1 3 0.16666666666666669
2 1 4 0.21650635094610965
2 1 5 0.2449489742783178
2 3 1 0.2886751345948129
2 3 4 0.07216878364870322
2 3 5 0.09999999999999998
2 4 1 0.30618621784789724
2 4 5 0.06123724356957944
2 5 1 0.31622776601683794
3 1 4 0.12499999999999999
3 1 5 0.1632993161855452
3 2 1 0.2886751345948129
3 2 4 0.07216878364870322
3 2 5 0.09999999999999998
3 4 1 0.3535533905932738
3 4 2 0.10206207261596575
3 4 5 0.04082482904638629
3 5 1 0.36514837167011077
3 5 2 0.11180339887498948
4 1 5 0.09999999999999999
4 2 1 0.30618621784789724
4 2 5 0.06123724356957944
4 3 1 0.3535533905932738
4 3 2 0.10206207261596575
4 3 5 0.04082482904638629
4 5 1 0.3872983346207417
4 5 2 0.13693063937629152
4 5 3 0.05270462766947298
5 2 1 0.31622776601683794
5 3 1 0.36514837167011077
5 3 2 0.11180339887498948
5 4 1 0.3872983346207417
5 4 2 0.13693063937629152
5 4 3 0.05270462766947298
